condition,target_name,internal_target_id,mass_index,mass_isotopologue,mean_fraction,median_fraction,minimum_fraction,maximum_fraction,standard_deviation,state_count
condition1,Succinate,succinate,3,M+3,0.013808537061041215,0.01328878999749648,0.0081238787955835237,0.026706490725405891,0.0032264405816170285,100
condition1,Succinate,succinate,4,M+4,0.48308302926475993,0.48334535723427424,0.47660562648121413,0.4859311272873304,0.001616961517280636,100
condition1,Fumarate,fumarate,0,M+0,0.087042842373308241,0.087153866110104783,0.084283056009710408,0.088260159303072253,0.00069084690451115484,100
condition1,Fumarate,fumarate,1,M+1,0.0058889108439445833,0.0056702041566088629,0.0034658147640973989,0.01135163166841471,0.0013742637660456027,100
condition1,Fumarate,fumarate,2,M+2,0.41017668045694605,0.41054045298509939,0.4010531951152535,0.41421901984991932,0.0022929080737061707,100
condition1,Fumarate,fumarate,3,M+3,0.013808537061041215,0.013288789997496478,0.0081238787955835237,0.026706490725405891,0.0032264405816170285,100
condition1,Fumarate,fumarate,4,M+4,0.48308302926475993,0.48334535723427419,0.47660562648121418,0.48593112728733034,0.0016169615172806294,100
condition1,Malate,malate,0,M+0,0.07474971306727346,0.074864976326077942,0.065997349403217567,0.085714462036096992,0.0047416314211954774,100
condition1,Malate,malate,1,M+1,0.030330510048671031,0.0301353283511974,0.0085388548907354232,0.047640348105265469,0.0093847315054336657,100
condition1,Malate,malate,2,M+2,0.36939246197995429,0.36972954641578892,0.34047776879512459,0.40575783483641814,0.015674026906183067,100
condition1,Malate,malate,3,M+3,0.071224693624984514,0.070675016810518604,0.020009917510571802,0.11213402048108459,0.022160508071932622,100
condition1,Malate,malate,4,M+4,0.45430262127911675,0.45459513209641744,0.43375051321530833,0.47997893072617953,0.011129633819551848,100
condition1,Glutamine,glutamine,0,M+0,0.026776227856717471,0.02678704349224495,0.026539957698866069,0.02693959295242326,7.154433842934468e-05,100
condition1,Glutamine,glutamine,1,M+1,0.062924492864382842,0.06292825468484553,0.062842753902587978,0.062979802685983674,2.4407974075999817e-05,100
condition1,Glutamine,glutamine,2,M+2,0.12629744643652041,0.1262831821977706,0.12608048109861156,0.12660949107114455,9.4833458961568367e-05,100
condition1,Glutamine,glutamine,3,M+3,0.29330697656055205,0.29334008577472326,0.29258218601588581,0.29381227924934017,0.00022065726267748309,100
condition1,Glutamine,glutamine,4,M+4,0.14891459682821609,0.14882204565663415,0.14751682269943314,0.15093635065011268,0.00061216369247477293,100
condition1,Glutamine,glutamine,5,M+5,0.34178025945361123,0.34183938819378112,0.34048926066140289,0.34267102131420768,0.00039038910068582989,100
condition1,Aspartate,aspartate,0,M+0,0.089047957418872267,0.089124270662627542,0.087394132830033666,0.089671549929920782,0.00042712937558821417,100
condition1,Aspartate,aspartate,1,M+1,0.20137644256255929,0.20174551136190982,0.19109209416684106,0.20586686005691557,0.0026937785172585554,100
condition1,Aspartate,aspartate,2,M+2,0.017830355733252458,0.017088876294531027,0.0086454785976261966,0.039457307561118954,0.0055760871904882298,100
condition1,Aspartate,aspartate,3,M+3,0.2040181311703283,0.20432964591655567,0.19823257105710357,0.2079005757629247,0.0021681237442182383,100
condition1,Aspartate,aspartate,4,M+4,0.48772711311498773,0.48791997690344158,0.48382389438490225,0.48922723428339121,0.0010188369365110011,100
condition1,Glycine,glycine,0,M+0,0.29999999999999999,0.30000000000000004,0.29999999999999988,0.3000000000000001,6.2376017542150433e-17,100
condition1,Glycine,glycine,1,M+1,0,-0,-0,-0,0,100
condition1,Glycine,glycine,2,M+2,0.69999999999999996,0.70000000000000007,0.69999999999999973,0.70000000000000029,2.8447840926845061e-16,100
condition1,Serine,serine,0,M+0,0.29999999999999999,0.30000000000000004,0.29999999999999988,0.3000000000000001,6.2625024590286652e-17,100
condition1,Serine,serine,1,M+1,0,-0,-0,-0,0,100
condition1,Serine,serine,2,M+2,0,-0,-0,-0,0,100
condition1,Serine,serine,3,M+3,0.69999999999999996,0.70000000000000007,0.69999999999999973,0.70000000000000029,2.8447840926845061e-16,100
