condition,state_id,target_name,internal_target_id,direct_or_reporter,carbon_count,mass_index,mass_isotopologue,fraction
condition0,theta0_sample_003,Serine,serine,reporter,3,1,M+1,0.04345620291103177
condition0,theta0_sample_003,Serine,serine,reporter,3,2,M+2,0.043456202911031763
condition0,theta0_sample_003,Serine,serine,reporter,3,3,M+3,0.65654379708896804
condition0,theta0_sample_004,Pyruvate,pyruvate,direct,3,0,M+0,0.26187488888804333
condition0,theta0_sample_004,Pyruvate,pyruvate,direct,3,1,M+1,0.03762232825220848
condition0,theta0_sample_004,Pyruvate,pyruvate,direct,3,2,M+2,0.039130676831452951
condition0,theta0_sample_004,Pyruvate,pyruvate,direct,3,3,M+3,0.6613721060282951
condition0,theta0_sample_004,Alanine,alanine,reporter,3,0,M+0,0.26187488888804333
condition0,theta0_sample_004,Alanine,alanine,reporter,3,1,M+1,0.03762232825220848
condition0,theta0_sample_004,Alanine,alanine,reporter,3,2,M+2,0.039130676831452951
condition0,theta0_sample_004,Alanine,alanine,reporter,3,3,M+3,0.6613721060282951
condition0,theta0_sample_004,Lactate,lactate,reporter,3,0,M+0,0.26187488888804333
condition0,theta0_sample_004,Lactate,lactate,reporter,3,1,M+1,0.03762232825220848
condition0,theta0_sample_004,Lactate,lactate,reporter,3,2,M+2,0.039130676831452951
condition0,theta0_sample_004,Lactate,lactate,reporter,3,3,M+3,0.6613721060282951
condition0,theta0_sample_004,Citrate,citrate,reporter,6,0,M+0,0.017239253762132072
condition0,theta0_sample_004,Citrate,citrate,reporter,6,1,M+1,0.035815178905706235
condition0,theta0_sample_004,Citrate,citrate,reporter,6,2,M+2,0.1012086675176094
condition0,theta0_sample_004,Citrate,citrate,reporter,6,3,M+3,0.14546402587524329
condition0,theta0_sample_004,Citrate,citrate,reporter,6,4,M+4,0.26515353333876734
condition0,theta0_sample_004,Citrate,citrate,reporter,6,5,M+5,0.14595476852497447
condition0,theta0_sample_004,Citrate,citrate,reporter,6,6,M+6,0.28916457207556734
condition0,theta0_sample_004,aKG,akg,direct,5,0,M+0,0.022526494425768935
condition0,theta0_sample_004,aKG,akg,direct,5,1,M+1,0.061407616433110809
condition0,theta0_sample_004,aKG,akg,direct,5,2,M+2,0.13186345905682925
condition0,theta0_sample_004,aKG,akg,direct,5,3,M+3,0.28043105669200463
condition0,theta0_sample_004,aKG,akg,direct,5,4,M+4,0.18528457158421535
condition0,theta0_sample_004,aKG,akg,direct,5,5,M+5,0.31848680180807126
condition0,theta0_sample_004,Succinate,succinate,direct,4,0,M+0,0.047752782948340247
condition0,theta0_sample_004,Succinate,succinate,direct,4,1,M+1,0.083490049421912932
condition0,theta0_sample_004,Succinate,succinate,direct,4,2,M+2,0.28051512273634316
condition0,theta0_sample_004,Succinate,succinate,direct,4,3,M+3,0.1974884744682146
condition0,theta0_sample_004,Succinate,succinate,direct,4,4,M+4,0.3907535704251896
condition0,theta0_sample_004,Fumarate,fumarate,direct,4,0,M+0,0.047752782948340254
condition0,theta0_sample_004,Fumarate,fumarate,direct,4,1,M+1,0.083490049421912932
condition0,theta0_sample_004,Fumarate,fumarate,direct,4,2,M+2,0.28051512273634316
